I eat bread .	Ben ekmek yiyorum .
He drinks the apple .	O elmayı içiyor .
We see the dog .	Biz köpeği görüyoruz .
You read a book .	Sen kitap okuyorsun .
You buy the dog .	Sen köpeği alıyorsun .
They drink the dog .	Onlar köpeği içiyorlar .
I want a friend .	Ben bir arkadaşı istiyorum .
You drink bread .	Sen ekmek içiyorsun .
They eat a book .	Onlar kitap yiyorlar .
I buy water .	Ben su alıyorum .
They see a friend .	Onlar bir arkadaşı görüyorlar .
We eat a friend .	Biz bir arkadaşı yiyoruz .
I see the dog .	Ben köpeği görüyorum .
You read water .	Sen su okuyorsun .
I buy a book .	Ben kitap alıyorum .
He reads water .	O su okuyor .
He wants a friend .	O bir arkadaşı istiyor .
She sees bread .	O ekmek görüyor .
He reads the apple .	O elmayı okuyor .
She wants the car .	O arabayı istiyor .
She eats water .	O su yiyor .
They want a book .	Onlar kitap istiyorlar .
We love a book .	Biz kitap seviyoruz .
They eat the house .	Onlar evi yiyorlar .
He buys the car .	O arabayı alıyor .
We buy the apple .	Biz elmayı alıyoruz .
He sees water .	O su görüyor .
You buy the apple .	Sen elmayı alıyorsun .
We want the apple .	Biz elmayı istiyoruz .
They read the apple .	Onlar elmayı okuyorlar .
I buy bread .	Ben ekmek alıyorum .
I eat the apple .	Ben elmayı yiyorum .
They drink the apple .	Onlar elmayı içiyorlar .
She drinks a friend .	O bir arkadaşı içiyor .
She finds the car .	O arabayı buluyor .
She sees water .	O su görüyor .
They find the car .	Onlar arabayı buluyorlar .
You find the house .	Sen evi buluyorsun .
She finds water .	O su buluyor .
You see the dog .	Sen köpeği görüyorsun .
I eat the house .	Ben evi yiyorum .
We love the apple .	Biz elmayı seviyoruz .
They want a friend .	Onlar bir arkadaşı istiyorlar .
I want water .	Ben su istiyorum .
I want the house .	Ben evi istiyorum .
We eat the apple .	Biz elmayı yiyoruz .
You find the car .	Sen arabayı buluyorsun .
You find a friend .	Sen bir arkadaşı buluyorsun .
She sees the car .	O arabayı görüyor .
You see the apple .	Sen elmayı görüyorsun .
She eats the apple .	O elmayı yiyor .
They eat the car .	Onlar arabayı yiyorlar .
You buy bread .	Sen ekmek alıyorsun .
He buys bread .	O ekmek alıyor .
He sees the car .	O arabayı görüyor .
You drink the dog .	Sen köpeği içiyorsun .
We drink the car .	Biz arabayı içiyoruz .
You want bread .	Sen ekmek istiyorsun .
She wants water .	O su istiyor .
We love the car .	Biz arabayı seviyoruz .
We buy water .	Biz su alıyoruz .
She loves the car .	O arabayı seviyor .
They find the apple .	Onlar elmayı buluyorlar .
I find a book .	Ben kitap buluyorum .
She sees a book .	O kitap görüyor .
They want the dog .	Onlar köpeği istiyorlar .
You want the dog .	Sen köpeği istiyorsun .
You buy a friend .	Sen bir arkadaşı alıyorsun .
I drink a book .	Ben kitap içiyorum .
I drink the house .	Ben evi içiyorum .
You love bread .	Sen ekmek seviyorsun .
We eat a book .	Biz kitap yiyoruz .
They love a book .	Onlar kitap seviyorlar .
You want the house .	Sen evi istiyorsun .
He reads a book .	O kitap okuyor .
We find a book .	Biz kitap buluyoruz .
He loves the house .	O evi seviyor .
She eats bread .	O ekmek yiyor .
He reads the car .	O arabayı okuyor .
He finds bread .	O ekmek buluyor .
They buy the house .	Onlar evi alıyorlar .
They love the dog .	Onlar köpeği seviyorlar .
They find a friend .	Onlar bir arkadaşı buluyorlar .
They want bread .	Onlar ekmek istiyorlar .
She drinks the apple .	O elmayı içiyor .
They find the dog .	Onlar köpeği buluyorlar .
We buy a book .	Biz kitap alıyoruz .
We see a friend .	Biz bir arkadaşı görüyoruz .
